inspection_ts,part_id,dim_dev_um,defect_type,status
2025-01-24 14:49:00,P000053,32.5,Surface,PASS
2025-02-07 18:47:00,P000054,9.9,Geometry,PASS
2025-02-06 13:29:00,P000055,16.2,None,PASS
2025-01-28 11:00:00,P000056,1.9,None,PASS
2025-01-25 22:15:00,P000057,32.7,None,PASS
2025-02-02 12:38:00,P000057,5.1,Geometry,PASS
2025-02-09 23:24:00,P000058,28.0,Geometry,PASS
2025-01-18 08:40:00,P000059,41.6,Surface,PASS
2025-01-15 04:41:00,P000059,11.5,Surface,PASS
2025-01-24 01:49:00,P000060,19.6,Surface,PASS
2025-01-27 16:28:00,P000061,20.9,Geometry,PASS
2025-01-18 10:10:00,P000061,0.9,None,PASS
2025-02-08 14:17:00,P000062,70.4,Dimension,FAIL
2025-01-12 22:38:00,P000062,1.9,None,PASS
2025-01-24 15:11:00,P000063,13.2,Surface,PASS
2025-02-06 03:44:00,P000063,10.3,Surface,PASS
2025-02-02 16:00:00,P000064,20.0,Surface,PASS
2025-02-08 09:26:00,P000065,17.3,Surface,PASS
2025-01-27 06:25:00,P000065,2.9,Geometry,PASS
2025-01-25 05:55:00,P000066,2.0,None,PASS
2025-01-12 05:44:00,P000066,21.6,None,PASS
2025-01-15 14:40:00,P000067,39.6,Dimension,FAIL
2025-01-28 00:10:00,P000068,0.4,None,PASS
2025-01-23 16:03:00,P000068,11.9,Geometry,PASS
2025-01-11 06:05:00,P000069,25.2,None,PASS
2025-01-23 13:47:00,P000069,47.0,Dimension,FAIL
2025-01-14 00:54:00,P000070,1.4,None,PASS
2025-02-10 04:31:00,P000071,5.9,Geometry,PASS
2025-01-25 05:42:00,P000072,46.6,Geometry,PASS
2025-02-03 21:55:00,P000073,45.2,Dimension,FAIL
2025-01-28 14:28:00,P000073,10.8,Surface,PASS
2025-01-15 23:56:00,P000074,33.0,Geometry,PASS
2025-02-12 04:38:00,P000075,36.8,Geometry,PASS
2025-01-28 16:09:00,P000075,54.1,None,PASS
2025-02-05 12:33:00,P000076,13.2,None,PASS
2025-01-16 02:55:00,P000077,0.6,Geometry,PASS
2025-01-29 18:06:00,P000078,35.9,Dimension,FAIL
2025-01-17 02:18:00,P000079,24.8,Surface,PASS
2025-01-28 19:54:00,P000079,19.8,None,PASS
2025-01-11 05:32:00,P000080,6.7,Geometry,PASS
2025-02-13 03:33:00,P000081,12.7,None,PASS
2025-01-16 16:40:00,P000082,0.2,Surface,PASS
2025-02-07 14:08:00,P000082,6.6,Surface,PASS
2025-01-22 08:40:00,P000083,23.5,Dimension,FAIL
2025-02-04 00:41:00,P000084,,Geometry,PASS
2025-01-21 17:48:00,P000085,13.3,Geometry,PASS
2025-02-08 01:21:00,P000086,,Geometry,PASS
2025-01-17 06:49:00,P000086,20.8,None,PASS
2025-01-13 01:47:00,P000087,7.8,Geometry,PASS
2025-01-30 06:31:00,P000087,32.6,Dimension,FAIL
2025-01-30 13:40:00,P000088,28.3,Surface,PASS
2025-02-06 19:02:00,P000088,16.0,Geometry,PASS
2025-01-28 09:53:00,P000089,2.3,Surface,PASS
2025-01-20 19:53:00,P000089,22.5,Surface,PASS
2025-02-11 03:27:00,P000090,4.7,None,PASS
2025-02-07 06:27:00,P000090,0.0,Geometry,PASS
2025-01-26 10:30:00,P000091,16.8,Surface,PASS
2025-02-05 06:42:00,P000092,47.1,Dimension,FAIL
2025-02-02 14:18:00,P000092,16.8,Surface,PASS
2025-02-07 15:06:00,P000093,20.8,Geometry,PASS
2025-02-11 07:12:00,P000094,8.9,Surface,PASS
2025-01-25 22:44:00,P000095,15.4,None,PASS
2025-02-01 23:14:00,P000096,0.2,None,PASS
2025-01-17 05:38:00,P000097,37.3,None,PASS
2025-02-01 14:28:00,P000097,38.6,Surface,PASS
2025-01-24 07:19:00,P000098,29.3,Surface,PASS
2025-01-26 11:04:00,P000098,18.0,Geometry,PASS
2025-02-14 07:19:00,P000099,17.3,Surface,PASS
2025-02-04 17:44:00,P000099,33.5,None,PASS
2025-01-13 03:54:00,P000100,32.5,Surface,PASS
2025-02-07 16:27:00,P000101,16.6,Geometry,PASS
2025-02-02 14:09:00,P000101,15.4,Surface,PASS
2025-01-18 05:20:00,P000102,2.3,None,PASS
2025-01-15 15:48:00,P000102,48.0,Dimension,FAIL
2025-01-16 20:22:00,P000103,30.9,Surface,PASS
2025-01-26 00:49:00,P000104,37.3,Dimension,FAIL
2025-01-16 12:58:00,P000105,35.7,None,PASS
2025-01-12 17:26:00,P000106,22.9,Surface,PASS
2025-02-09 09:48:00,P000106,,None,PASS
2025-02-05 21:41:00,P000107,1.6,Surface,PASS
2025-01-10 09:10:00,P000107,0.7,Geometry,PASS
2025-02-04 07:54:00,P000108,21.7,None,PASS
2025-01-20 06:19:00,P000108,58.9,Geometry,PASS
2025-01-18 12:38:00,P000109,20.2,None,PASS
2025-02-02 21:39:00,P000109,8.7,None,PASS
2025-02-08 21:13:00,P000110,27.7,Dimension,FAIL
2025-02-04 08:19:00,P000110,18.1,None,PASS
2025-02-13 09:54:00,P000111,32.1,Surface,PASS
2025-01-15 16:46:00,P000112,19.0,Surface,PASS
2025-01-23 02:31:00,P000113,8.0,Surface,PASS
2025-02-05 04:35:00,P000114,31.3,Surface,PASS
2025-02-08 01:40:00,P000115,14.5,None,PASS
2025-02-01 22:19:00,P000116,35.0,Surface,PASS
2025-01-27 10:36:00,P000116,18.1,Geometry,PASS
2025-01-11 18:40:00,P000117,19.4,Geometry,PASS
2025-01-21 00:42:00,P000117,9.5,Surface,PASS
2025-01-13 10:11:00,P000118,7.0,Surface,PASS
2025-01-14 02:59:00,P000118,12.9,None,PASS
2025-02-11 15:03:00,P000119,15.0,None,PASS
2025-01-16 07:57:00,P000119,3.0,Surface,PASS
2025-01-25 12:38:00,P000120,39.8,Geometry,PASS
2025-01-16 04:57:00,P000121,0.5,Surface,PASS
2025-01-24 01:33:00,P000122,14.2,Surface,PASS
2025-01-12 08:00:00,P000122,31.7,Geometry,PASS
2025-02-05 17:22:00,P000123,0.4,Geometry,PASS
2025-01-31 09:30:00,P000124,17.1,None,PASS
2025-02-12 11:29:00,P000124,7.3,Surface,PASS
2025-01-20 22:54:00,P000125,3.6,Surface,PASS
2025-02-03 11:31:00,P000126,11.0,Surface,PASS
2025-02-14 01:40:00,P000127,26.2,Surface,PASS
2025-01-26 10:36:00,P000127,26.4,None,PASS
2025-01-28 22:57:00,P000128,10.1,None,PASS
2025-02-03 21:59:00,P000129,2.6,Geometry,PASS
2025-01-27 10:17:00,P000129,32.9,Dimension,FAIL
2025-02-08 06:01:00,P000130,23.3,None,PASS
2025-01-28 17:25:00,P000131,8.6,Geometry,PASS
2025-02-13 05:22:00,P000132,7.9,Surface,PASS
2025-02-06 19:01:00,P000133,16.8,Geometry,PASS
2025-01-26 11:54:00,P000134,4.8,Surface,PASS
2025-01-24 00:53:00,P000135,7.4,None,PASS
2025-02-03 12:29:00,P000135,4.0,Surface,PASS
2025-01-24 08:30:00,P000136,26.2,Surface,PASS
2025-02-13 11:45:00,P000137,37.1,Geometry,PASS
2025-01-27 18:52:00,P000138,21.7,Geometry,PASS
2025-01-26 08:18:00,P000138,,Surface,PASS
2025-02-02 02:05:00,P000139,15.2,None,PASS
2025-01-18 00:34:00,P000139,1.6,None,PASS
2025-02-07 06:57:00,P000140,17.9,Geometry,PASS
2025-01-21 00:56:00,P000141,,Geometry,PASS
2025-01-25 22:51:00,P000141,2.3,Geometry,PASS
2025-01-22 07:13:00,P000142,15.0,Geometry,PASS
2025-01-14 10:52:00,P000143,9.3,Geometry,PASS
2025-01-12 11:53:00,P000144,24.5,None,PASS
2025-01-15 11:12:00,P000144,15.3,Geometry,PASS
2025-01-12 10:27:00,P000145,12.5,Geometry,PASS
2025-01-28 05:31:00,P000146,3.7,None,PASS
2025-02-11 10:22:00,P000146,36.7,None,PASS
2025-02-09 21:29:00,P000147,10.7,None,PASS
2025-01-14 03:54:00,P000147,14.4,Geometry,PASS
2025-02-10 00:21:00,P000148,18.3,None,PASS
2025-01-16 20:00:00,P000149,24.6,Geometry,PASS
2025-01-30 03:52:00,P000150,27.0,None,PASS
2025-01-19 02:30:00,P000150,20.8,None,PASS
2025-01-27 09:48:00,P000151,1.1,Surface,PASS
2025-01-31 15:23:00,P000152,1.7,Surface,PASS
2025-02-10 21:45:00,P000152,2.1,Surface,PASS
2025-02-14 01:19:00,P000153,,None,PASS
2025-02-03 12:41:00,P000154,19.7,Surface,PASS
2025-01-27 03:22:00,P000155,11.4,Geometry,PASS
2025-02-01 06:53:00,P000155,1.4,None,PASS
2025-01-27 20:00:00,P000156,13.0,Surface,PASS
2025-01-19 01:33:00,P000157,11.8,Geometry,PASS
2025-02-05 12:42:00,P000158,1.8,Geometry,PASS
2025-02-07 13:08:00,P000159,37.8,Dimension,FAIL
2025-01-11 01:18:00,P000160,4.9,Surface,PASS
2025-01-31 04:30:00,P000160,44.6,Surface,PASS
2025-01-30 00:49:00,P000161,2.1,Surface,PASS
2025-02-09 03:54:00,P000162,1.1,Surface,PASS
2025-02-06 23:43:00,P000163,39.5,None,PASS
2025-01-21 00:34:00,P000164,5.7,Surface,PASS
2025-01-24 01:38:00,P000164,32.3,Dimension,FAIL
2025-01-24 19:17:00,P000165,,None,PASS
2025-02-11 05:47:00,P000166,40.0,Surface,PASS
2025-01-20 01:03:00,P000166,21.3,Geometry,PASS
2025-02-12 20:40:00,P000167,18.3,None,PASS
2025-01-16 16:12:00,P000167,5.8,Surface,PASS
2025-01-13 08:56:00,P000168,27.9,Geometry,PASS
2025-02-01 02:01:00,P000168,13.6,None,PASS
2025-01-18 15:57:00,P000169,18.8,None,PASS
2025-02-02 03:40:00,P000170,1.0,None,PASS
2025-02-09 02:07:00,P000170,,None,PASS
2025-01-19 12:52:00,P000171,,Geometry,PASS
2025-02-09 20:24:00,P000172,10.1,None,PASS
2025-01-25 22:42:00,P000173,9.7,None,PASS
2025-02-11 15:08:00,P000173,,Geometry,PASS
2025-01-29 00:06:00,P000174,12.2,Surface,PASS
2025-01-31 08:08:00,P000175,13.4,Geometry,PASS
2025-01-13 13:00:00,P000175,,None,PASS
2025-01-25 19:22:00,P000176,3.7,Geometry,PASS
2025-02-10 21:07:00,P000177,24.8,Surface,PASS
2025-02-04 08:41:00,P000178,11.0,Geometry,PASS
2025-01-23 09:09:00,P000178,2.3,Surface,PASS
2025-02-08 21:01:00,P000179,1.4,None,PASS
2025-01-13 19:25:00,P000179,25.6,Surface,PASS
2025-02-09 12:29:00,P000180,33.2,Surface,PASS
2025-01-25 14:56:00,P000180,19.2,Geometry,PASS
2025-01-17 00:41:00,P000181,13.2,None,PASS
2025-01-31 07:28:00,P000182,4.2,Surface,PASS
2025-01-23 06:52:00,P000182,53.5,Dimension,FAIL
2025-01-31 09:10:00,P000183,26.7,None,PASS
2025-01-13 12:51:00,P000183,11.3,Surface,PASS
2025-01-20 08:12:00,P000184,20.4,Surface,PASS
2025-02-09 03:44:00,P000184,6.5,Surface,PASS
2025-02-07 00:47:00,P000185,3.9,None,PASS
2025-02-02 08:04:00,P000185,4.6,Surface,PASS
2025-01-13 14:50:00,P000186,0.8,Geometry,PASS
2025-02-09 19:02:00,P000187,5.1,Geometry,PASS
2025-01-30 03:56:00,P000188,36.5,Geometry,PASS
2025-01-27 06:17:00,P000188,7.0,None,PASS
2025-01-11 07:55:00,P000189,,None,PASS
2025-02-04 12:59:00,P000189,3.6,None,PASS
2025-01-17 14:29:00,P000190,19.0,Geometry,PASS
2025-02-03 08:04:00,P000191,11.7,None,PASS
2025-02-04 18:19:00,P000192,0.1,Geometry,PASS
2025-01-11 08:10:00,P000193,7.8,Geometry,PASS
2025-01-15 19:06:00,P000194,45.7,Dimension,FAIL
2025-02-13 04:18:00,P000195,47.0,Dimension,FAIL
2025-02-04 02:32:00,P000196,35.5,Surface,PASS
2025-02-01 09:29:00,P000196,19.6,None,PASS
2025-01-23 05:30:00,P000197,24.1,Surface,PASS
2025-01-15 10:56:00,P000197,68.7,Dimension,FAIL
2025-01-30 23:17:00,P000198,3.2,Geometry,PASS
2025-01-27 23:58:00,P000199,15.9,Surface,PASS
2025-02-11 13:22:00,P000200,20.4,None,PASS
2025-01-20 22:30:00,P000200,27.9,None,PASS
2025-01-20 02:36:00,P000201,2.7,None,PASS
2025-02-13 04:13:00,P000202,44.8,Dimension,FAIL
2025-02-02 00:46:00,P000202,21.1,Surface,PASS
2025-01-11 12:11:00,P000203,39.2,Surface,PASS
2025-01-18 14:10:00,P000204,8.0,Geometry,PASS
2025-01-29 01:23:00,P000204,23.2,Geometry,PASS
2025-02-04 02:37:00,P000205,23.4,Geometry,PASS
2025-01-23 02:04:00,P000205,25.1,Geometry,PASS
2025-01-31 23:19:00,P000206,20.5,Surface,PASS
2025-01-13 19:08:00,P000207,9.5,None,PASS
2025-02-08 07:20:00,P000207,12.8,Surface,PASS
2025-02-10 01:00:00,P000208,31.6,Surface,PASS
2025-02-06 09:58:00,P000209,53.2,Surface,PASS
2025-01-22 08:12:00,P000210,11.2,Surface,PASS
2025-01-15 22:01:00,P000211,37.2,Dimension,FAIL
2025-02-02 19:15:00,P000211,63.0,Dimension,FAIL
2025-01-30 11:32:00,P000212,13.0,Geometry,PASS
2025-02-06 01:39:00,P000212,5.4,Geometry,PASS
2025-01-22 18:33:00,P000213,12.1,Geometry,PASS
2025-02-13 22:34:00,P000213,1.0,None,PASS
2025-01-20 18:47:00,P000214,18.9,None,PASS
2025-01-13 04:15:00,P000215,21.4,None,PASS
2025-01-19 20:37:00,P000216,18.7,Geometry,PASS
2025-01-29 20:10:00,P000217,3.6,Surface,PASS
2025-01-20 01:57:00,P000218,14.0,Surface,PASS
2025-02-06 18:35:00,P000218,65.3,Dimension,FAIL
2025-01-22 23:51:00,P000219,12.5,Geometry,PASS
2025-01-29 20:44:00,P000219,62.4,Geometry,PASS
2025-01-10 08:22:00,P000220,30.7,Surface,PASS
2025-02-11 11:40:00,P000221,22.4,None,PASS
2025-01-21 13:57:00,P000221,75.3,Dimension,FAIL
2025-02-06 20:12:00,P000222,4.5,Geometry,PASS
2025-02-05 17:51:00,P000223,2.1,Surface,PASS
2025-01-11 04:43:00,P000224,7.9,Surface,PASS
2025-01-20 11:11:00,P000224,20.8,Surface,PASS
2025-01-19 17:13:00,P000225,12.1,None,PASS
2025-01-19 13:11:00,P000225,13.6,Surface,PASS
2025-02-10 10:30:00,P000226,0.8,Surface,PASS
2025-02-04 21:15:00,P000226,4.8,None,PASS
2025-01-18 09:51:00,P000227,33.3,Dimension,FAIL
2025-02-01 16:08:00,P000228,19.6,Surface,PASS
2025-02-02 13:37:00,P000229,3.4,Geometry,PASS
2025-01-11 10:05:00,P000229,14.2,Geometry,PASS
2025-01-26 17:07:00,P000230,7.5,Geometry,PASS
2025-02-13 04:50:00,P000230,29.6,None,PASS
2025-02-11 01:06:00,P000231,6.2,None,PASS
2025-02-04 05:01:00,P000232,5.6,Surface,PASS
2025-01-23 18:23:00,P000232,19.1,Geometry,PASS
2025-02-01 17:35:00,P000233,9.7,Geometry,PASS
2025-02-11 21:33:00,P000234,2.0,Geometry,PASS
2025-01-29 11:22:00,P000235,34.7,Geometry,PASS
2025-02-09 22:58:00,P000236,19.1,Surface,PASS
2025-02-02 10:01:00,P000237,10.6,None,PASS
2025-01-21 18:07:00,P000238,8.2,Geometry,PASS
2025-02-08 18:00:00,P000238,8.4,Geometry,PASS
2025-01-14 01:37:00,P000239,37.4,Geometry,PASS
2025-02-07 15:09:00,P000239,3.5,Geometry,PASS
2025-01-16 10:51:00,P000240,8.4,Surface,PASS
2025-01-24 08:22:00,P000241,16.0,Surface,PASS
2025-01-25 05:24:00,P000241,1.4,None,PASS
2025-01-26 18:33:00,P000242,24.9,Geometry,PASS
2025-01-18 05:39:00,P000242,7.1,Surface,PASS
2025-01-27 10:53:00,P000243,12.5,None,PASS
2025-01-26 05:25:00,P000244,9.6,Geometry,PASS
2025-01-17 14:38:00,P000245,27.9,Geometry,PASS
2025-01-17 16:50:00,P000246,55.3,None,PASS
2025-02-12 13:42:00,P000246,,Geometry,PASS
2025-01-26 13:20:00,P000247,25.1,Geometry,PASS
2025-01-16 15:41:00,P000247,2.7,None,PASS
2025-02-13 13:42:00,P000248,24.1,Surface,PASS
2025-02-13 23:03:00,P000249,22.3,Geometry,PASS
2025-02-11 18:26:00,P000249,27.3,Geometry,PASS
2025-01-21 11:31:00,P000250,13.4,Surface,PASS
2025-02-05 03:02:00,P000250,14.9,Surface,PASS
2025-01-24 22:52:00,P000251,44.1,Surface,PASS
2025-02-02 01:51:00,P000252,11.5,None,PASS
2025-01-11 20:55:00,P000253,19.7,Geometry,PASS
2025-02-06 23:17:00,P000253,20.1,Surface,PASS
2025-02-01 01:32:00,P000254,0.5,None,PASS
2025-01-14 14:40:00,P000255,18.9,None,PASS
2025-01-21 13:30:00,P000256,51.9,Surface,PASS
2025-02-12 08:00:00,P000257,37.1,None,PASS
2025-02-05 23:15:00,P000257,12.9,None,PASS
2025-02-13 20:56:00,P000258,,Dimension,FAIL
2025-01-12 05:35:00,P000258,5.9,Geometry,PASS
2025-01-17 10:03:00,P000259,10.8,None,PASS
2025-01-25 12:38:00,P000259,30.3,Surface,PASS
2025-01-15 20:33:00,P000260,9.1,Surface,PASS
2025-01-20 15:48:00,P000261,7.2,Geometry,PASS
2025-01-18 16:59:00,P000261,7.3,None,PASS
2025-01-19 21:44:00,P000262,31.9,None,PASS
2025-01-27 13:03:00,P000262,28.7,None,PASS
2025-01-24 17:13:00,P000263,,None,PASS
2025-02-02 03:57:00,P000264,21.0,Surface,PASS
2025-02-08 00:47:00,P000264,81.8,Dimension,FAIL
2025-01-11 09:07:00,P000265,23.9,Surface,PASS
2025-01-16 15:55:00,P000265,2.4,None,PASS
2025-02-07 08:57:00,P000266,6.7,Geometry,PASS
2025-01-14 00:24:00,P000266,19.3,Surface,PASS
2025-01-25 18:13:00,P000267,3.9,None,PASS
2025-01-12 18:34:00,P000267,17.3,Surface,PASS
2025-01-17 10:50:00,P000268,17.1,Surface,PASS
2025-01-27 16:29:00,P000268,5.8,Surface,PASS
2025-02-08 14:00:00,P000269,54.0,Surface,PASS
2025-02-02 15:39:00,P000270,55.3,Surface,PASS
2025-01-20 05:53:00,P000271,0.5,Surface,PASS
2025-01-28 00:20:00,P000271,31.9,Dimension,FAIL
2025-02-04 16:00:00,P000272,33.7,Geometry,PASS
2025-01-13 13:13:00,P000273,6.2,None,PASS
2025-02-05 12:29:00,P000273,28.2,Surface,PASS
2025-01-10 16:28:00,P000274,,Dimension,FAIL
2025-02-13 02:37:00,P000274,9.4,Surface,PASS
2025-01-30 07:29:00,P000275,8.6,Geometry,PASS
2025-01-22 11:09:00,P000276,4.9,Surface,PASS
2025-02-06 10:10:00,P000277,6.1,Surface,PASS
2025-02-13 15:01:00,P000278,35.9,Surface,PASS
2025-02-12 03:10:00,P000279,11.8,None,PASS
2025-01-30 18:29:00,P000280,21.5,None,PASS
2025-01-21 02:54:00,P000280,10.2,Surface,PASS
2025-02-10 19:26:00,P000281,8.7,Geometry,PASS
2025-01-20 06:04:00,P000282,0.2,None,PASS
2025-01-30 11:12:00,P000282,7.9,Surface,PASS
2025-02-13 01:27:00,P000283,0.4,Surface,PASS
2025-01-27 22:04:00,P000284,17.0,Geometry,PASS
2025-01-30 17:36:00,P000284,3.5,None,PASS
2025-02-06 04:56:00,P000285,57.7,Dimension,FAIL
2025-02-03 18:40:00,P000285,33.6,Geometry,PASS
2025-01-21 14:40:00,P000286,1.3,Geometry,PASS
2025-01-17 21:32:00,P000287,58.9,Geometry,PASS
2025-02-08 18:59:00,P000288,,None,PASS
2025-01-15 02:15:00,P000289,2.5,None,PASS
2025-01-27 20:22:00,P000289,7.6,Surface,PASS
2025-01-22 21:39:00,P000290,12.4,Surface,PASS
2025-01-30 05:52:00,P000291,,None,PASS
2025-02-03 01:15:00,P000291,7.6,Surface,PASS
2025-01-28 17:29:00,P000292,14.8,Geometry,PASS
2025-01-29 07:13:00,P000293,40.8,Dimension,FAIL
2025-02-12 18:18:00,P000294,23.6,None,PASS
2025-01-16 03:27:00,P000295,2.8,Surface,PASS
2025-02-06 13:15:00,P000296,10.3,Geometry,PASS
2025-01-11 23:21:00,P000296,39.5,Surface,PASS
2025-01-11 19:14:00,P000297,5.9,Geometry,PASS
2025-02-04 08:03:00,P000297,2.4,Surface,PASS
2025-01-26 14:45:00,P000298,14.1,None,PASS
2025-01-15 21:10:00,P000299,3.1,Surface,PASS
2025-01-31 00:01:00,P000299,14.3,Geometry,PASS
2025-02-08 13:32:00,P000300,5.2,None,PASS
2025-02-11 12:53:00,P000301,5.5,Surface,PASS
2025-01-16 04:24:00,P000302,13.3,Surface,PASS
2025-01-18 07:21:00,P000302,4.5,None,PASS
2025-02-11 01:23:00,P000303,43.1,Surface,PASS
2025-01-27 01:48:00,P000304,3.4,None,PASS
2025-01-24 19:12:00,P000304,12.0,None,PASS
2025-01-14 19:52:00,P000305,14.5,None,PASS
2025-02-04 23:31:00,P000305,,Surface,PASS
2025-02-11 13:07:00,P000306,6.8,None,PASS
2025-01-22 16:39:00,P000307,34.0,Dimension,FAIL
2025-01-18 23:12:00,P000307,30.5,Dimension,FAIL
2025-01-26 14:11:00,P000308,23.9,Surface,PASS
2025-01-24 06:19:00,P000308,12.0,Surface,PASS
2025-01-19 11:58:00,P000309,27.9,Surface,PASS
2025-01-29 06:07:00,P000309,0.3,Geometry,PASS
2025-01-25 05:26:00,P000310,31.4,None,PASS
2025-02-08 17:22:00,P000311,20.8,Surface,PASS
2025-02-05 10:16:00,P000311,0.9,Geometry,PASS
2025-01-20 04:44:00,P000312,18.2,Geometry,PASS
2025-01-30 05:34:00,P000313,,Geometry,PASS
2025-01-26 23:35:00,P000313,2.2,Geometry,PASS
2025-02-09 10:14:00,P000314,19.8,Surface,PASS
2025-02-12 07:37:00,P000315,5.4,None,PASS
2025-02-12 21:10:00,P000315,32.9,Geometry,PASS
2025-01-25 03:14:00,P000316,32.3,Surface,PASS
2025-02-12 19:50:00,P000316,26.0,Surface,PASS
2025-02-06 06:40:00,P000317,44.3,Dimension,FAIL
2025-01-12 15:05:00,P000318,4.2,Surface,PASS
2025-02-05 19:56:00,P000319,57.1,Dimension,FAIL
2025-01-31 13:58:00,P000320,28.1,Dimension,FAIL
2025-01-22 20:41:00,P000320,,Dimension,FAIL
2025-02-01 17:58:00,P000321,1.3,Surface,PASS
2025-01-14 11:15:00,P000321,27.2,Geometry,PASS
2025-02-11 21:15:00,P000322,25.6,None,PASS
2025-02-02 04:36:00,P000323,14.6,Geometry,PASS
2025-01-26 13:41:00,P000324,39.9,Geometry,PASS
2025-01-11 03:43:00,P000324,62.2,Surface,PASS
2025-01-30 21:39:00,P000325,7.4,Surface,PASS
2025-02-01 14:30:00,P000325,1.4,Geometry,PASS
2025-02-04 06:31:00,P000326,12.2,Surface,PASS
2025-02-08 21:58:00,P000326,22.9,Dimension,FAIL
2025-01-16 23:30:00,P000327,10.6,None,PASS
2025-02-03 01:17:00,P000327,6.1,Surface,PASS
2025-01-17 22:08:00,P000328,17.6,Surface,PASS
