part_id,material,volume_mm3,surface_area_mm2,tolerance_um,complexity_idx,rev,created_at
P000057,Aluminum,11731.0,580.0,55.0,0.22,1,2025-01-03
P000058,ABS,5573.0,356.0,97.0,0.378,1,2025-01-08
P000059,Steel,13884.0,617.0,43.0,0.553,1,2025-02-14
P000060,ABS,13089.0,587.0,84.0,0.09,1,2025-01-18
P000061,Titanium,7951.0,391.0,21.0,0.574,1,2025-01-21
P000062,ABS,15014.0,653.0,59.0,0.39,1,2025-01-25
P000063,Aluminum,26644.0,979.0,35.0,0.3,1,2025-01-09
P000064,Steel,8079.0,453.0,41.0,0.046,1,2025-01-03
P000065,ABS,6591.0,370.0,61.0,0.21,1,2025-02-12
P000066,Aluminum,8523.0,416.0,52.0,0.391,1,2025-02-25
P000067,Titanium,15434.0,675.0,34.0,0.307,1,2025-01-25
P000068,Titanium,28974.0,969.0,26.0,0.308,1,2025-02-24
P000069,Brass,8348.0,465.0,36.0,0.364,1,2025-01-14
P000070,Steel,7489.0,416.0,28.0,0.275,1,2025-02-13
P000071,Brass,7694.0,438.0,38.0,0.559,1,2025-01-01
P000072,Aluminum,8629.0,412.0,48.0,0.809,1,2025-01-20
P000073,Steel,32736.0,1050.0,29.0,0.637,1,2025-01-14
P000074,Steel,19830.0,827.0,58.0,0.225,1,2025-02-14
P000075,ABS,3126.0,207.0,66.0,0.594,1,2025-02-23
P000076,Steel,8931.0,436.0,24.0,0.346,1,2025-01-25
P000077,Aluminum,12371.0,608.0,54.0,0.105,1,2025-02-01
P000078,Steel,7654.0,434.0,22.0,0.484,1,2025-01-03
P000079,Steel,9352.0,462.0,42.0,0.426,1,2025-02-21
P000080,Steel,9417.0,455.0,30.0,0.179,1,2025-02-25
P000081,Aluminum,14136.0,554.0,61.0,0.252,1,2025-01-11
P000082,Steel,28075.0,913.0,18.0,0.159,1,2025-01-06
P000083,Steel,2289.0,180.0,15.0,0.58,1,2025-01-13
P000084,ABS,13944.0,597.0,97.0,0.293,1,2025-01-15
P000085,Brass,28883.0,1022.0,51.0,0.253,1,2025-02-10
P000086,Steel,14658.0,556.0,26.0,0.303,1,2025-01-15
P000087,Steel,11519.0,561.0,30.0,0.723,1,2025-02-28
P000088,ABS,16532.0,710.0,84.0,0.443,1,2025-02-11
P000089,Brass,21428.0,771.0,48.0,0.29,1,2025-01-22
P000090,ABS,21460.0,859.0,91.0,0.338,1,2025-02-11
P000091,Brass,16472.0,593.0,35.0,0.262,1,2025-02-24
P000092,Titanium,5764.0,359.0,30.0,0.857,1,2025-01-01
P000093,Aluminum,15588.0,578.0,45.0,0.41,1,2025-01-30
P000094,Brass,20976.0,715.0,67.0,0.28,1,2025-01-27
P000095,Aluminum,7326.0,392.0,61.0,0.147,1,2025-01-01
P000096,Steel,3534.0,221.0,31.0,0.436,1,2025-01-03
P000097,Brass,14871.0,646.0,45.0,0.485,1,2025-01-31
P000098,ABS,22157.0,748.0,65.0,0.275,1,2025-02-04
P000099,Aluminum,5941.0,316.0,41.0,0.252,1,2025-01-17
P000100,ABS,19313.0,723.0,68.0,0.463,1,2025-01-04
P000101,Aluminum,7159.0,404.0,72.0,0.58,1,2025-01-04
P000102,Steel,10757.0,539.0,25.0,0.477,1,2025-02-12
P000103,Brass,18431.0,681.0,58.0,0.41,1,2025-02-17
P000104,Steel,6135.0,357.0,32.0,0.417,1,2025-02-26
P000105,ABS,15965.0,657.0,82.0,0.444,1,2025-02-22
P000106,ABS,8915.0,398.0,102.0,0.214,1,2025-01-08
P000107,Brass,26607.0,1001.0,45.0,0.239,1,2025-02-26
P000108,ABS,9513.0,471.0,70.0,0.218,1,2025-01-14
P000109,Aluminum,13093.0,546.0,55.0,0.515,1,2025-01-11
P000110,Steel,14628.0,687.0,21.0,0.262,1,2025-01-04
P000111,Steel,8925.0,430.0,42.0,0.514,1,2025-02-16
P000112,Aluminum,11412.0,498.0,37.0,0.515,1,2025-02-16
P000113,Steel,9983.0,488.0,15.0,0.804,1,2025-01-29
P000114,ABS,23019.0,886.0,68.0,0.463,1,2025-02-17
P000115,Brass,8567.0,439.0,34.0,0.485,1,2025-01-11
P000116,Titanium,9387.0,429.0,46.0,0.187,1,2025-01-11
P000117,Aluminum,8351.0,419.0,41.0,0.318,1,2025-02-20
P000118,Aluminum,10045.0,499.0,53.0,0.115,1,2025-02-03
P000119,ABS,16297.0,593.0,82.0,0.271,1,2025-01-11
P000120,Aluminum,10615.0,475.0,64.0,0.757,1,2025-01-12
P000121,Aluminum,10061.0,446.0,49.0,0.552,1,2025-02-04
P000122,ABS,8717.0,484.0,69.0,0.225,1,2025-01-17
P000123,Aluminum,10481.0,,61.0,0.247,1,2025-02-04
P000124,Brass,18204.0,780.0,55.0,0.193,1,2025-02-06
P000125,Brass,9792.0,460.0,57.0,0.199,1,2025-01-27
P000126,Aluminum,21175.0,699.0,62.0,0.38,1,2025-02-24
P000127,Steel,40994.0,1289.0,28.0,0.286,1,2025-01-28
P000128,Brass,11448.0,524.0,32.0,0.334,1,2025-01-01
P000129,Titanium,27954.0,1013.0,31.0,0.196,1,2025-02-16
P000130,Aluminum,5483.0,353.0,43.0,0.547,1,2025-01-16
P000131,Aluminum,10024.0,507.0,54.0,0.16,1,2025-01-25
P000132,Brass,18085.0,763.0,52.0,0.434,1,2025-01-23
P000133,Titanium,15881.0,683.0,21.0,0.309,1,2025-02-23
P000134,Aluminum,7609.0,419.0,38.0,0.208,1,2025-02-27
P000135,Steel,18175.0,788.0,29.0,0.303,1,2025-01-20
P000136,ABS,52979.0,1317.0,83.0,0.535,1,2025-01-28
P000137,Brass,18361.0,792.0,42.0,0.838,1,2025-02-22
P000138,,6640.0,366.0,59.0,0.3,1,2025-02-25
P000139,ABS,7798.0,375.0,73.0,0.335,1,2025-03-01
P000140,Brass,8212.0,435.0,36.0,0.359,1,2025-02-17
P000141,Steel,13801.0,618.0,35.0,0.753,1,2025-01-03
P000142,Aluminum,30198.0,908.0,40.0,0.362,1,2025-02-03
P000143,Aluminum,20218.0,791.0,53.0,0.452,1,2025-02-22
P000144,Steel,39048.0,1196.0,50.0,0.237,1,2025-02-01
P000145,Brass,14172.0,532.0,63.0,0.64,1,2025-01-28
P000146,Aluminum,16235.0,619.0,78.0,0.514,1,2025-01-04
P000147,Aluminum,30410.0,1022.0,64.0,0.226,1,2025-01-08
P000148,Steel,12928.0,564.0,25.0,0.134,1,2025-01-10
P000149,Aluminum,29213.0,894.0,72.0,0.539,1,2025-02-12
P000150,Aluminum,25029.0,870.0,48.0,0.275,1,2025-01-21
P000151,Aluminum,7395.0,348.0,38.0,0.293,1,2025-01-18
P000152,Steel,10463.0,434.0,28.0,0.768,1,2025-01-13
P000153,ABS,11084.0,523.0,77.0,0.295,1,2025-01-12
P000154,Steel,10439.0,514.0,27.0,0.326,1,2025-01-16
P000155,Aluminum,14091.0,570.0,65.0,0.251,1,2025-02-05
P000156,Steel,8368.0,458.0,18.0,0.625,1,2025-01-10
P000157,ABS,26666.0,941.0,66.0,0.372,1,2025-01-30
P000158,Titanium,17674.0,750.0,36.0,0.105,1,2025-01-23
P000159,Titanium,19470.0,661.0,22.0,0.559,1,2025-01-17
P000160,Aluminum,19830.0,823.0,62.0,0.302,1,2025-02-27
P000161,Aluminum,6632.0,322.0,58.0,0.164,1,2025-02-11
P000162,Brass,19738.0,756.0,52.0,0.504,1,2025-02-19
P000163,Titanium,8509.0,445.0,50.0,0.511,1,2025-01-17
P000164,Steel,33245.0,1090.0,29.0,0.69,1,2025-01-31
P000165,ABS,5429.0,354.0,68.0,0.117,1,2025-02-21
P000166,Brass,23587.0,,49.0,0.645,1,2025-01-07
P000167,ABS,7551.0,441.0,72.0,0.201,1,2025-03-01
P000168,,12440.0,532.0,51.0,0.405,1,2025-01-17
P000169,Aluminum,18689.0,700.0,48.0,0.451,1,2025-01-03
P000170,Aluminum,6701.0,338.0,62.0,0.083,1,2025-02-08
P000171,Aluminum,9415.0,471.0,40.0,0.23,1,2025-01-05
P000172,Aluminum,17363.0,608.0,54.0,0.139,1,2025-02-18
P000173,Titanium,5738.0,329.0,28.0,0.135,1,2025-01-18
P000174,Aluminum,3962.0,247.0,52.0,0.583,1,2025-01-05
P000175,ABS,14822.0,608.0,93.0,0.431,1,2025-01-22
P000176,Aluminum,20045.0,767.0,48.0,0.165,1,2025-01-21
P000177,Steel,27907.0,873.0,36.0,0.608,1,2025-02-11
P000178,Steel,15754.0,625.0,31.0,0.02,1,2025-02-07
P000179,Aluminum,14522.0,664.0,73.0,0.297,1,2025-02-01
P000180,Steel,22266.0,718.0,36.0,0.121,1,2025-02-13
P000181,Steel,12880.0,530.0,51.0,0.579,1,2025-02-13
P000182,Steel,17008.0,638.0,45.0,0.608,1,2025-02-12
P000183,ABS,2839.0,230.0,87.0,0.1,1,2025-01-27
P000184,Aluminum,12276.0,537.0,39.0,0.221,1,2025-03-01
P000185,Aluminum,7602.0,358.0,43.0,0.325,1,2025-01-22
P000186,Steel,7061.0,355.0,44.0,0.496,1,2025-01-31
P000187,Steel,12710.0,557.0,48.0,0.597,1,2025-02-26
P000188,Aluminum,10795.0,477.0,65.0,0.33,1,2025-01-06
P000189,Titanium,31114.0,917.0,27.0,0.362,1,2025-01-09
P000190,Brass,30429.0,1033.0,57.0,0.381,1,2025-01-07
P000191,Aluminum,19851.0,757.0,64.0,0.539,1,2025-01-05
P000192,Steel,36229.0,1229.0,45.0,0.324,1,2025-02-15
P000193,Aluminum,12890.0,606.0,41.0,0.188,1,2025-02-12
P000194,Steel,4456.0,299.0,30.0,0.847,1,2025-01-15
P000195,Aluminum,6175.0,328.0,39.0,0.486,1,2025-01-19
P000196,Steel,16086.0,662.0,48.0,0.421,1,2025-01-14
P000197,Titanium,12949.0,609.0,27.0,0.553,1,2025-03-01
P000198,Steel,12616.0,613.0,54.0,0.342,1,2025-01-13
P000199,ABS,11559.0,546.0,61.0,0.176,1,2025-02-02
P000200,ABS,4147.0,247.0,110.0,0.491,1,2025-02-11
P000201,ABS,15335.0,590.0,79.0,0.357,1,2025-01-23
P000202,Aluminum,15439.0,621.0,34.0,0.719,1,2025-01-14
P000203,ABS,17461.0,754.0,71.0,0.568,1,2025-01-18
P000204,Titanium,10073.0,426.0,36.0,0.153,1,2025-02-22
P000205,ABS,9437.0,422.0,76.0,0.794,1,2025-01-15
P000206,Steel,16639.0,732.0,35.0,0.618,1,2025-01-28
P000207,ABS,4005.0,255.0,77.0,0.204,1,2025-02-05
P000208,ABS,10231.0,460.0,81.0,0.276,1,2025-02-09
P000209,ABS,10049.0,450.0,73.0,0.734,1,2025-02-18
P000210,,25593.0,851.0,59.0,0.724,1,2025-01-11
P000211,Titanium,26751.0,996.0,15.0,0.788,1,2025-01-30
P000212,Titanium,29764.0,1095.0,31.0,0.354,1,2025-01-31
P000213,Steel,11537.0,519.0,29.0,0.658,1,2025-01-04
P000214,ABS,8925.0,419.0,101.0,0.369,1,2025-01-13
P000215,Aluminum,13686.0,566.0,54.0,0.351,1,2025-01-27
P000216,Titanium,18521.0,734.0,36.0,0.271,1,2025-02-19
P000217,Brass,10725.0,499.0,53.0,0.204,1,2025-02-23
P000218,ABS,2651.0,184.0,54.0,0.606,1,2025-01-17
P000219,ABS,14793.0,599.0,77.0,0.579,1,2025-02-12
P000220,Aluminum,9804.0,487.0,68.0,0.774,1,2025-01-20
P000221,Steel,4826.0,270.0,29.0,0.456,1,2025-02-26
P000222,Aluminum,7638.0,383.0,54.0,0.524,1,2025-02-19
P000223,ABS,10654.0,465.0,81.0,0.181,1,2025-02-11
P000224,Aluminum,9098.0,460.0,31.0,0.06,1,2025-01-05
P000225,Brass,10480.0,455.0,36.0,0.3,1,2025-02-05
P000226,Steel,12412.0,501.0,25.0,0.18,1,2025-01-16
P000227,Steel,6861.0,386.0,32.0,0.422,1,2025-01-17
P000228,Aluminum,16660.0,667.0,60.0,0.607,1,2025-01-17
P000229,ABS,9697.0,467.0,52.0,0.334,1,2025-02-22
P000230,Brass,5336.0,283.0,56.0,0.653,1,2025-02-05
P000231,ABS,6767.0,377.0,92.0,0.699,1,2025-01-05
P000232,Aluminum,7405.0,357.0,76.0,0.088,1,2025-02-18
P000233,Brass,18929.0,742.0,58.0,0.425,1,2025-01-20
P000234,Aluminum,13008.0,554.0,59.0,0.729,1,2025-02-21
P000235,Brass,9670.0,445.0,37.0,0.797,1,2025-03-01
P000236,ABS,12237.0,517.0,75.0,0.212,1,2025-02-20
P000237,Steel,9233.0,484.0,25.0,0.438,1,2025-02-16
P000238,Steel,9811.0,474.0,28.0,0.142,1,2025-02-15
P000239,ABS,16388.0,639.0,77.0,0.471,1,2025-02-04
P000240,Aluminum,13411.0,646.0,62.0,0.519,1,2025-02-22
P000241,Brass,11887.0,516.0,22.0,0.12,1,2025-02-10
P000242,Steel,11451.0,522.0,41.0,0.318,1,2025-01-17
P000243,Brass,9755.0,448.0,57.0,0.502,1,2025-02-02
P000244,Brass,17376.0,651.0,37.0,0.217,1,2025-02-23
P000245,Aluminum,11074.0,469.0,64.0,0.577,1,2025-01-10
P000246,ABS,16153.0,723.0,87.0,0.73,1,2025-01-09
P000247,Steel,4686.0,302.0,28.0,0.584,1,2025-02-20
P000248,ABS,24487.0,853.0,69.0,0.316,1,2025-01-14
P000249,Steel,9567.0,473.0,44.0,0.287,1,2025-02-18
P000250,Steel,6629.0,398.0,48.0,0.081,1,2025-03-01
P000251,Brass,18413.0,776.0,60.0,0.371,1,2025-01-19
P000252,Aluminum,24502.0,897.0,57.0,0.14,1,2025-01-08
P000253,Steel,22248.0,875.0,31.0,0.294,1,2025-02-28
P000254,Steel,17451.0,651.0,39.0,0.197,1,2025-02-11
P000255,Aluminum,11853.0,574.0,29.0,0.488,1,2025-02-19
P000256,ABS,11592.0,548.0,78.0,0.711,1,2025-01-13
P000257,ABS,26719.0,927.0,80.0,0.557,1,2025-01-22
P000258,Brass,10104.0,493.0,29.0,0.499,1,2025-01-05
P000259,ABS,17345.0,663.0,60.0,0.135,1,2025-02-05
P000260,Steel,21733.0,726.0,23.0,0.122,1,2025-01-31
P000261,Titanium,19712.0,692.0,15.0,0.26,1,2025-01-02
P000262,Aluminum,4114.0,255.0,82.0,0.428,1,2025-02-16
P000263,Aluminum,12295.0,485.0,67.0,0.439,1,2025-01-15
P000264,ABS,3503.0,259.0,67.0,0.75,1,2025-02-25
P000265,Steel,20042.0,833.0,38.0,0.537,1,2025-02-01
P000266,Steel,17723.0,743.0,51.0,0.427,1,2025-01-01
P000267,Brass,9716.0,517.0,40.0,0.262,1,2025-01-29
P000268,Steel,5912.0,,29.0,0.23,1,2025-01-09
P000269,Brass,8469.0,462.0,63.0,0.377,1,2025-03-01
P000270,ABS,6873.0,364.0,65.0,0.25,1,2025-02-03
P000271,Steel,15165.0,701.0,19.0,0.368,1,2025-02-28
P000272,Aluminum,11735.0,568.0,51.0,0.316,1,2025-01-13
P000273,Aluminum,30625.0,989.0,65.0,0.313,1,2025-02-23
P000274,Titanium,7502.0,347.0,15.0,0.352,1,2025-02-11
P000275,Steel,5545.0,320.0,44.0,0.177,1,2025-02-26
P000276,Aluminum,36277.0,1053.0,45.0,0.242,1,2025-01-21
P000277,Steel,7900.0,418.0,38.0,0.812,1,2025-01-11
P000278,Brass,5308.0,323.0,52.0,0.541,1,2025-02-03
P000279,Aluminum,16572.0,696.0,59.0,0.731,1,2025-01-20
P000280,ABS,27999.0,,62.0,0.11,1,2025-02-01
P000281,Aluminum,12566.0,578.0,48.0,0.251,1,2025-01-21
P000282,Titanium,15503.0,646.0,39.0,0.409,1,2025-01-02
P000283,Steel,18209.0,770.0,15.0,0.856,1,2025-01-07
P000284,Aluminum,8318.0,450.0,33.0,0.368,1,2025-02-27
P000285,Titanium,12620.0,580.0,38.0,0.954,1,2025-01-10
P000286,Steel,19349.0,666.0,39.0,0.128,1,2025-01-26
P000287,ABS,9638.0,520.0,79.0,0.696,1,2025-01-06
P000288,Steel,34618.0,1195.0,15.0,0.589,1,2025-01-28
P000289,Aluminum,5698.0,345.0,69.0,0.295,1,2025-01-12
P000290,Aluminum,7009.0,377.0,47.0,0.456,1,2025-02-19
P000291,Aluminum,9473.0,494.0,26.0,0.67,1,2025-02-28
P000292,Aluminum,8088.0,395.0,41.0,0.299,1,2025-02-22
P000293,Aluminum,9854.0,498.0,35.0,0.351,1,2025-01-06
P000294,Aluminum,17268.0,760.0,44.0,0.542,1,2025-02-08
P000295,Titanium,32732.0,1123.0,42.0,0.428,1,2025-01-25
P000296,Aluminum,5204.0,286.0,43.0,0.195,1,2025-01-25
P000297,Steel,7867.0,384.0,38.0,0.449,1,2025-02-23
P000298,Aluminum,5567.0,308.0,46.0,0.244,1,2025-01-23
P000299,Aluminum,12538.0,520.0,52.0,0.081,1,2025-01-20
P000300,ABS,8538.0,409.0,75.0,0.362,1,2025-02-26
P000301,Titanium,7693.0,406.0,15.0,0.653,1,2025-01-15
P000302,Steel,9372.0,473.0,36.0,0.183,1,2025-01-03
P000303,Aluminum,14393.0,661.0,64.0,0.159,1,2025-01-14
P000304,Titanium,7663.0,398.0,31.0,0.132,1,2025-01-18
P000305,Aluminum,12008.0,550.0,69.0,0.147,1,2025-01-11
P000306,Steel,5947.0,326.0,44.0,0.717,1,2025-02-05
P000307,Steel,29691.0,974.0,28.0,0.23,1,2025-01-15
P000308,Brass,11697.0,515.0,45.0,0.398,1,2025-01-20
P000309,Brass,26206.0,988.0,51.0,0.351,1,2025-01-29
P000310,ABS,34533.0,959.0,81.0,0.563,1,2025-02-28
P000311,Steel,13144.0,510.0,53.0,0.335,1,2025-02-20
P000312,Brass,5321.0,335.0,54.0,0.366,1,2025-02-25
P000313,Brass,15362.0,579.0,34.0,0.273,1,2025-01-15
P000314,Brass,6823.0,357.0,26.0,0.133,1,2025-01-11
P000315,ABS,18369.0,688.0,91.0,0.209,1,2025-02-01
P000316,Aluminum,8009.0,376.0,57.0,0.479,1,2025-03-01
P000317,Steel,16521.0,737.0,22.0,0.536,1,2025-02-07
P000318,Steel,14873.0,591.0,57.0,0.055,1,2025-02-02
P000319,Steel,5420.0,342.0,21.0,0.721,1,2025-01-20
P000320,Brass,27379.0,886.0,15.0,0.776,1,2025-02-04
P000321,,59135.0,1388.0,49.0,0.262,1,2025-02-03
P000322,ABS,7147.0,352.0,75.0,0.805,1,2025-02-19
P000323,Steel,11808.0,473.0,45.0,0.444,1,2025-02-10
P000324,ABS,7192.0,368.0,78.0,0.735,1,2025-02-06
P000325,Aluminum,12577.0,592.0,63.0,0.272,1,2025-01-09
P000326,Steel,12521.0,586.0,18.0,0.652,1,2025-01-25
P000327,Aluminum,15227.0,600.0,38.0,0.634,1,2025-01-30
P000328,Aluminum,19304.0,754.0,69.0,0.371,1,2025-01-26
P000329,Titanium,17205.0,647.0,17.0,0.211,1,2025-01-17
P000330,Steel,7319.0,377.0,27.0,0.394,1,2025-01-05
P000331,Brass,4039.0,272.0,40.0,0.511,1,2025-02-13
P000332,Steel,11351.0,518.0,29.0,0.169,1,2025-01-04
P000333,Aluminum,11355.0,494.0,44.0,0.53,1,2025-02-02
P000334,Brass,18128.0,677.0,43.0,0.273,1,2025-02-28
P000335,Aluminum,28148.0,1058.0,59.0,0.094,1,2025-02-10
P000336,Brass,14392.0,533.0,30.0,0.166,1,2025-02-23
P000337,Aluminum,9596.0,509.0,58.0,0.313,1,2025-02-16
P000338,ABS,12765.0,518.0,59.0,0.404,1,2025-02-26
P000339,Aluminum,9642.0,469.0,82.0,0.64,1,2025-01-21
P000340,Steel,13164.0,634.0,56.0,0.099,1,2025-02-11
P000341,Titanium,8631.0,447.0,35.0,0.439,1,2025-02-21
P000342,Steel,15517.0,600.0,18.0,0.283,1,2025-02-27
P000343,ABS,7925.0,449.0,73.0,0.215,1,2025-02-16
P000344,ABS,6107.0,345.0,81.0,0.472,1,2025-02-16
P000345,Aluminum,13461.0,586.0,52.0,0.505,1,2025-02-16
P000346,Brass,15347.0,645.0,30.0,0.107,1,2025-02-17
P000347,Titanium,15643.0,571.0,26.0,0.274,1,2025-02-11
P000348,Aluminum,6310.0,365.0,51.0,0.302,1,2025-01-24
P000349,Steel,4761.0,266.0,36.0,0.21,1,2025-01-15
P000350,Steel,5454.0,301.0,28.0,0.02,1,2025-01-29
P000351,ABS,24249.0,904.0,90.0,0.591,1,2025-02-07
P000352,Aluminum,19409.0,726.0,61.0,0.282,1,2025-02-24
P000353,Steel,16178.0,704.0,39.0,0.194,1,2025-01-11
P000354,Brass,25670.0,975.0,27.0,0.593,1,2025-01-13
P000355,ABS,21541.0,775.0,77.0,0.164,1,2025-02-04
P000356,Aluminum,24501.0,803.0,50.0,0.25,1,2025-01-28
P000357,Brass,12373.0,605.0,60.0,0.063,1,2025-01-30
P000358,Aluminum,33450.0,961.0,60.0,0.422,1,2025-01-18
P000359,Brass,28007.0,868.0,53.0,0.515,1,2025-01-20
P000360,Steel,7419.0,391.0,65.0,0.585,1,2025-02-26
P000361,Aluminum,19192.0,673.0,52.0,0.19,1,2025-02-11
P000362,ABS,29117.0,1062.0,41.0,0.46,1,2025-02-08
P000363,Brass,45830.0,1177.0,20.0,0.83,1,2025-01-03
P000364,ABS,9708.0,507.0,88.0,0.38,1,2025-02-02
P000365,Titanium,15378.0,647.0,18.0,0.1,1,2025-01-07
P000366,Aluminum,15349.0,634.0,35.0,0.341,1,2025-01-12
P000367,Aluminum,7634.0,426.0,47.0,0.366,1,2025-01-15
P000368,Aluminum,11337.0,470.0,77.0,0.482,1,2025-03-01
P000369,Steel,13413.0,538.0,25.0,0.421,1,2025-01-24
P000370,Steel,5839.0,339.0,42.0,0.248,1,2025-02-19
P000371,Steel,14434.0,585.0,26.0,0.191,1,2025-01-09
P000372,Steel,9081.0,470.0,22.0,0.723,1,2025-02-21
P000373,Aluminum,7668.0,393.0,38.0,0.667,1,2025-02-22
P000374,Aluminum,7814.0,394.0,50.0,0.383,1,2025-01-17
P000375,Steel,19121.0,708.0,36.0,0.407,1,2025-01-25
P000376,Aluminum,21260.0,866.0,66.0,0.261,1,2025-01-10
P000377,Steel,10106.0,534.0,56.0,0.031,1,2025-01-24
P000378,Titanium,10778.0,529.0,58.0,0.07,1,2025-01-16
P000379,Aluminum,3652.0,215.0,65.0,0.236,1,2025-01-05
P000380,ABS,11915.0,523.0,86.0,0.163,1,2025-01-12
P000381,ABS,30090.0,1092.0,82.0,0.588,1,2025-02-05
P000382,Steel,16059.0,723.0,37.0,0.156,1,2025-01-13
P000383,Steel,22269.0,731.0,20.0,0.489,1,2025-01-02
P000384,Titanium,13106.0,622.0,41.0,0.449,1,2025-02-23
P000385,Steel,8385.0,447.0,26.0,0.442,1,2025-03-01
P000386,ABS,12003.0,516.0,76.0,0.181,1,2025-02-08
P000387,Brass,23958.0,786.0,51.0,0.226,1,2025-01-21
P000388,Steel,19132.0,654.0,40.0,0.451,1,2025-02-03
P000389,Titanium,7567.0,394.0,27.0,0.53,1,2025-01-01
P000390,ABS,7922.0,365.0,61.0,0.112,1,2025-02-10
P000391,Steel,17856.0,683.0,41.0,0.508,1,2025-02-12
P000392,ABS,15090.0,556.0,68.0,0.278,1,2025-01-17
P000393,Steel,30034.0,1088.0,35.0,0.277,1,2025-02-15
P000394,,7529.0,420.0,86.0,0.212,1,2025-01-09
P000395,Aluminum,4300.0,251.0,60.0,0.287,1,2025-01-16
P000396,Titanium,12437.0,523.0,33.0,0.538,1,2025-02-22
P000397,Steel,5471.0,298.0,49.0,0.304,1,2025-02-07
P000398,Aluminum,9534.0,468.0,69.0,0.486,1,2025-02-27
P000399,Steel,10073.0,521.0,15.0,0.37,1,2025-01-04
P000400,Brass,12697.0,591.0,49.0,0.146,1,2025-02-16
P000401,Brass,41488.0,1144.0,42.0,0.171,1,2025-01-16
